year,province,mthincome_mthexp_totaldebt_pctexptoincome,soc_eco_class1,soc_eco_class2,value,unit,attribute,source
2566,นนทบุรี,รายได้ทั้งสิ้นต่อเดือน,ลูกจ้าง,ผู้ปฏิบัติงานในกระบวนการผลิตก่อสร้างและเหมืองแร่,24348.00,บาท,,สำนักงานสถิติแห่งชาติ
2566,นนทบุรี,รายได้ทั้งสิ้นต่อเดือน,ผู้ไม่ได้ปฏิบัติงานเชิงเศรษฐกิจ,ผู้ไม่ได้ปฏิบัติงานเชิงเศรษฐกิจ,29486.00,บาท,,สำนักงานสถิติแห่งชาติ
2566,นนทบุรี,ค่าใช้จ่ายทั้งสิ้นต่อเดือน,รวมทั้งสิ้น,รวมทั้งสิ้น,31331.00,บาท,,สำนักงานสถิติแห่งชาติ
2566,นนทบุรี,ค่าใช้จ่ายทั้งสิ้นต่อเดือน,ผู้ถือครองทำการเกษตร/เพาะเลี้ยง,ปลูกพืช/เลี้ยงสัตว์/เพาะเลี้ยง_ส่วนใหญ่เป็นเจ้าของที่ดิน,.00,บาท,"ศูนย์ยกกำลังดับเบิลยู หมายถึง ข้อมูลจากการสำรวจตัวอย่างมีค่าเป็น 0",สำนักงานสถิติแห่งชาติ
2566,นนทบุรี,ค่าใช้จ่ายทั้งสิ้นต่อเดือน,ผู้ถือครองทำการเกษตร/เพาะเลี้ยง,ปลูกพืช/เลี้ยงสัตว์/เพาะเลี้ยง_ส่วนใหญ่เช่าที่ดิน/ทำฟรี,24582.00,บาท,,สำนักงานสถิติแห่งชาติ
2566,นนทบุรี,ค่าใช้จ่ายทั้งสิ้นต่อเดือน,ผู้ถือครองทำการเกษตร/เพาะเลี้ยง,ประมงป่าไม้ล่าสัตว์หาของป่าบริการทางการเกษตร,.00,บาท,"ศูนย์ยกกำลังดับเบิลยู หมายถึง ข้อมูลจากการสำรวจตัวอย่างมีค่าเป็น 0",สำนักงานสถิติแห่งชาติ
2566,นนทบุรี,ค่าใช้จ่ายทั้งสิ้นต่อเดือน,ผู้ประกอบธุรกิจของตนเองที่ไม่ใช่การเกษตร,ผู้ประกอบธุรกิจของตนเองที่ไม่ใช่การเกษตร,32947.00,บาท,,สำนักงานสถิติแห่งชาติ
2566,นนทบุรี,ค่าใช้จ่ายทั้งสิ้นต่อเดือน,ลูกจ้าง,ผู้จัดการนักวิชาการและผู้ปฏิบัติงานวิชาชีพ,45046.00,บาท,,สำนักงานสถิติแห่งชาติ
2566,นนทบุรี,ค่าใช้จ่ายทั้งสิ้นต่อเดือน,ลูกจ้าง,คนงานเกษตรป่าไม้และประมง,8652.00,บาท,,สำนักงานสถิติแห่งชาติ
2566,นนทบุรี,ค่าใช้จ่ายทั้งสิ้นต่อเดือน,ลูกจ้าง,คนงานด้านการขนส่งและงานพื้นฐาน,17364.00,บาท,,สำนักงานสถิติแห่งชาติ
2566,นนทบุรี,ค่าใช้จ่ายทั้งสิ้นต่อเดือน,ลูกจ้าง,เสมียนพนักงานขายและให้บริการ,25056.00,บาท,,สำนักงานสถิติแห่งชาติ
2566,นนทบุรี,ค่าใช้จ่ายทั้งสิ้นต่อเดือน,ลูกจ้าง,ผู้ปฏิบัติงานในกระบวนการผลิตก่อสร้างและเหมืองแร่,21635.00,บาท,,สำนักงานสถิติแห่งชาติ
